Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97033,1,OK,0.8316374,0.1356794,-0.5209384,0.1363582,-5.188,-165.853,-1161.13,0.3717927,4,OK,-4.961,-165.704,-1161.535,OK,-46.495,-184.176,-1139.696,OK,-97.471,-179.626,-1117.027,OK,-108.221,-238.712,-1106.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97036,1,OK,0.8289428,0.1415766,-0.5250564,0.1308651,-5.899,-166.742,-1162.919,0.3712472,4,OK,-5.663,-166.588,-1163.321,OK,-47.412,-185.297,-1142.077,OK,-98.525,-180.959,-1119.661,OK,-109.524,-240.186,-1110.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97039,1,OK,0.8258506,0.140393,-0.5291137,0.1352746,-6.439,-166.938,-1163.738,0.3757877,4,OK,-6.206,-166.788,-1164.143,OK,-48.086,-185.627,-1143.272,OK,-99.462,-181.494,-1121.492,OK,-110.249,-240.73,-1111.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97042,1,OK,0.8226368,0.1419438,-0.5321919,0.1410406,-6.513,-167.445,-1164.428,0.3796129,4,OK,-6.282,-167.29,-1164.835,OK,-48.136,-186.565,-1144.326,OK,-99.775,-182.964,-1123.058,OK,-109.994,-242.303,-1113.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97045,1,OK,0.8200576,0.1461702,-0.5339145,0.1451727,-5.33,-167.365,-1165.738,0.3747807,4,OK,-5.112,-167.209,-1166.136,OK,-46.827,-187.035,-1145.949,OK,-98.633,-184.12,-1124.948,OK,-108.222,-243.599,-1115.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97048,1,OK,0.8217269,0.1488787,-0.5341666,0.1314001,-5.955,-166.365,-1165.985,0.3789776,4,OK,-5.727,-166.207,-1166.389,OK,-47.741,-185.56,-1146.29,OK,-99.328,-181.99,-1124.925,OK,-110.07,-241.442,-1116.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97051,1,OK,0.8195602,0.1388363,-0.5377136,0.1411015,-6.736,-165.067,-1166.369,0.3740132,4,OK,-6.507,-164.916,-1166.764,OK,-48.692,-183.961,-1146.781,OK,-100.586,-180.116,-1126.2,OK,-111.184,-239.381,-1116.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97054,1,OK,0.8172475,0.1368893,-0.5415152,0.1418774,-7.501,-164.75,-1167.449,0.3747339,4,OK,-7.284,-164.599,-1167.841,OK,-49.644,-183.549,-1148.216,OK,-101.747,-179.593,-1128.138,OK,-112.513,-238.819,-1118.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97057,1,OK,0.8139759,0.1319225,-0.5472764,0.1432764,-8.738,-163.822,-1168.893,0.3746266,4,OK,-8.51,-163.674,-1169.284,OK,-51.246,-182.329,-1150.147,OK,-103.601,-178.032,-1130.878,OK,-114.74,-237.155,-1120.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97060,1,OK,0.8124223,0.1410011,-0.5511551,0.1277373,-9.703,-164.102,-1170.817,0.3804596,4,OK,-9.485,-163.955,-1171.212,OK,-52.519,-182.535,-1152.722,OK,-104.846,-178.058,-1133.399,OK,-116.926,-237.284,-1125.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97063,1,OK,0.8082068,0.1403001,-0.5585881,0.1228696,-11.277,-163.339,-1173.146,0.366991,4,OK,-11.074,-163.187,-1173.519,OK,-54.541,-181.496,-1155.87,OK,-107.098,-176.633,-1137.316,OK,-119.897,-235.795,-1129.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97066,1,OK,0.8041174,0.136923,-0.5659371,0.1198437,-12.935,-162.152,-1175.417,0.3554675,4,OK,-12.724,-162.006,-1175.772,OK,-56.651,-179.895,-1158.896,OK,-109.462,-174.548,-1141.17,OK,-122.946,-233.579,-1134.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97069,1,OK,0.7986247,0.13216,-0.5748628,0.119437,-14.752,-160.93,-1178.152,0.3796506,4,OK,-14.532,-160.786,-1178.529,OK,-58.93,-178.292,-1162.477,OK,-112.083,-172.52,-1145.966,OK,-126.153,-231.422,-1138.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97072,1,OK,0.7933289,0.127578,-0.5852751,0.1086566,-17.274,-158.221,-1181.371,0.3820603,4,OK,-17.053,-158.081,-1181.743,OK,-62.161,-174.64,-1166.779,OK,-115.503,-167.74,-1151.334,OK,-131.138,-226.361,-1145.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97075,1,OK,0.7898124,0.1187063,-0.5950918,0.0892805,-20.25,-152.988,-1184.035,0.397616,4,OK,-20.033,-152.86,-1184.423,OK,-66.038,-167.626,-1170.334,OK,-119.283,-158.614,-1155.743,OK,-137.511,-216.575,-1150.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97078,1,OK,0.7911024,0.0998922,-0.5990842,0.0726404,-22.59,-145.505,-1184.42,0.4076781,4,OK,-22.359,-145.385,-1184.817,OK,-69.107,-157.713,-1170.772,OK,-121.889,-145.935,-1156.517,OK,-143.013,-202.835,-1150.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97081,1,OK,0.7904522,0.07693,-0.604617,0.0608713,-24.738,-137.494,-1185.098,0.3922994,4,OK,-24.509,-137.383,-1185.475,OK,-71.906,-147.218,-1171.742,OK,-124.216,-132.666,-1158.283,OK,-148.067,-188.349,-1151.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97084,1,OK,0.790229,0.066193,-0.6075074,0.0457318,-25.998,-132.184,-1185.8,0.393266,4,OK,-25.757,-132.088,-1186.177,OK,-73.554,-140.152,-1172.638,OK,-125.332,-123.69,-1159.352,OK,-151.265,-178.458,-1152.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97087,1,OK,0.7881797,0.063758,-0.6115133,0.0275529,-27.08,-128.493,-1187.102,0.378956,4,OK,-26.845,-128.398,-1187.461,OK,-74.949,-135.18,-1174.418,OK,-126.266,-117.302,-1161.124,OK,-153.987,-171.341,-1155.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97090,1,OK,0.7823216,0.0596142,-0.6199104,0.011409,-28.633,-124.68,-1189.992,0.3784617,4,OK,-28.379,-124.589,-1190.343,OK,-76.923,-130.034,-1178.294,OK,-127.901,-110.755,-1165.673,OK,-157.376,-163.955,-1161.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
