Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,103342,1,OK,0.7723562,-0.0103594,-0.6314622,0.0679280,-160.733,199.657,-1412.184,0.2920927,4,OK,-160.481,199.686,-1412.406,OK,-209.494,196.306,-1401.809,OK,-260.765,217.223,-1394.524,OK,-290.591,165.525,-1382.342
1,Port 2: NDI 8700340  s/n:34802401,103345,1,OK,0.7714071,-0.0111369,-0.6323422,0.0703597,-160.316,200.436,-1412.029,0.2821961,4,OK,-160.074,200.467,-1412.236,OK,-209.098,196.985,-1401.788,OK,-260.431,217.779,-1394.701,OK,-290.152,166.049,-1382.379
1,Port 2: NDI 8700340  s/n:34802401,103348,1,OK,0.7718193,-0.0154692,-0.6316429,0.0712952,-160.222,201.342,-1411.814,0.2629168,4,OK,-159.975,201.363,-1411.985,OK,-209.011,198.182,-1401.560,OK,-260.252,219.243,-1394.512,OK,-290.164,167.718,-1381.748
1,Port 2: NDI 8700340  s/n:34802401,103351,1,OK,0.7723045,-0.0184744,-0.6309268,0.0716639,-160.157,202.165,-1411.639,0.2777473,4,OK,-159.915,202.192,-1411.840,OK,-208.931,199.210,-1401.257,OK,-260.098,220.489,-1394.313,OK,-290.180,169.128,-1381.239
1,Port 2: NDI 8700340  s/n:34802401,103354,1,OK,0.7721214,-0.0184611,-0.6311505,0.0716709,-160.122,202.173,-1411.665,0.2590968,4,OK,-159.873,202.197,-1411.825,OK,-208.910,199.220,-1401.382,OK,-260.075,220.490,-1394.380,OK,-290.158,169.126,-1381.326
1,Port 2: NDI 8700340  s/n:34802401,103357,1,OK,0.7715594,-0.0182181,-0.6317522,0.0724798,-160.159,201.886,-1411.870,0.2614440,4,OK,-159.914,201.906,-1412.041,OK,-208.963,198.862,-1401.640,OK,-260.166,220.052,-1394.759,OK,-290.185,168.636,-1381.721
1,Port 2: NDI 8700340  s/n:34802401,103360,1,OK,0.7712698,-0.0179224,-0.6321092,0.0725237,-160.179,201.783,-1411.994,0.2793876,4,OK,-159.936,201.820,-1412.196,OK,-208.982,198.713,-1401.756,OK,-260.205,219.881,-1394.973,OK,-290.223,168.468,-1381.984
1,Port 2: NDI 8700340  s/n:34802401,103363,1,OK,0.7709653,-0.0185783,-0.6324390,0.0727200,-160.213,201.894,-1412.171,0.2691898,4,OK,-159.982,201.918,-1412.363,OK,-209.026,198.870,-1401.989,OK,-260.252,220.063,-1395.268,OK,-290.286,168.674,-1382.249
1,Port 2: NDI 8700340  s/n:34802401,103366,1,OK,0.7706172,-0.0184506,-0.6329323,0.0721484,-160.264,201.975,-1412.343,0.2634242,4,OK,-160.021,202.005,-1412.509,OK,-209.101,198.974,-1402.272,OK,-260.303,220.182,-1395.532,OK,-290.406,168.814,-1382.598
1,Port 2: NDI 8700340  s/n:34802401,103369,1,OK,0.7702520,-0.0188895,-0.6332565,0.0730839,-160.320,201.882,-1412.585,0.2673731,4,OK,-160.079,201.904,-1412.767,OK,-209.154,198.856,-1402.529,OK,-260.403,220.042,-1395.914,OK,-290.459,168.639,-1382.913
1,Port 2: NDI 8700340  s/n:34802401,103372,1,OK,0.7705380,-0.0184322,-0.6330367,0.0720831,-160.282,201.969,-1412.491,0.2656045,4,OK,-160.035,201.990,-1412.668,OK,-209.121,198.976,-1402.414,OK,-260.330,220.197,-1395.709,OK,-290.432,168.799,-1382.787
1,Port 2: NDI 8700340  s/n:34802401,103375,1,OK,0.7718939,-0.0205575,-0.6313914,0.0714289,-160.111,202.724,-1411.836,0.2635858,4,OK,-159.863,202.742,-1412.012,OK,-208.924,199.950,-1401.563,OK,-260.023,221.396,-1394.710,OK,-290.272,170.145,-1381.534
1,Port 2: NDI 8700340  s/n:34802401,103378,1,OK,0.7735546,-0.0222696,-0.6293989,0.0705287,-159.895,203.349,-1411.097,0.2606507,4,OK,-159.652,203.371,-1411.262,OK,-208.658,200.780,-1400.602,OK,-259.648,222.432,-1393.510,OK,-290.038,171.330,-1380.097
1,Port 2: NDI 8700340  s/n:34802401,103381,1,OK,0.7746900,-0.0234406,-0.6279562,0.0705475,-159.746,203.709,-1410.599,0.2618309,4,OK,-159.499,203.727,-1410.769,OK,-208.477,201.245,-1399.922,OK,-259.407,223.002,-1392.703,OK,-289.833,171.963,-1379.081
1,Port 2: NDI 8700340  s/n:34802401,103384,1,OK,0.7750933,-0.0228694,-0.6276667,0.0688617,-159.655,203.868,-1410.318,0.2616201,4,OK,-159.413,203.894,-1410.489,OK,-208.382,201.458,-1399.600,OK,-259.257,223.293,-1392.269,OK,-289.771,172.295,-1378.773
1,Port 2: NDI 8700340  s/n:34802401,103387,1,OK,0.7752768,-0.0231788,-0.6274204,0.0689360,-159.622,203.906,-1410.215,0.2678421,4,OK,-159.382,203.925,-1410.403,OK,-208.341,201.523,-1399.438,OK,-259.209,223.378,-1392.128,OK,-289.728,172.385,-1378.582
1,Port 2: NDI 8700340  s/n:34802401,103390,1,OK,0.7752356,-0.0225341,-0.6275365,0.0685556,-159.598,203.806,-1410.189,0.2580203,4,OK,-159.360,203.824,-1410.356,OK,-208.321,201.397,-1399.458,OK,-259.196,223.222,-1392.080,OK,-289.696,172.216,-1378.619
1,Port 2: NDI 8700340  s/n:34802401,103393,1,OK,0.7753800,-0.0228315,-0.6272682,0.0692756,-159.560,203.729,-1410.127,0.2643114,4,OK,-159.320,203.746,-1410.312,OK,-208.276,201.301,-1399.333,OK,-259.160,223.111,-1391.994,OK,-289.618,172.081,-1378.441
1,Port 2: NDI 8700340  s/n:34802401,103396,1,OK,0.7753184,-0.0224851,-0.6273346,0.0694772,-159.545,203.580,-1410.135,0.2642711,4,OK,-159.305,203.599,-1410.316,OK,-208.249,201.107,-1399.357,OK,-259.166,222.881,-1392.007,OK,-289.589,171.825,-1378.472
1,Port 2: NDI 8700340  s/n:34802401,103399,1,OK,0.7751006,-0.0224183,-0.6276561,0.0690237,-159.566,203.647,-1410.223,0.2624366,4,OK,-159.325,203.667,-1410.394,OK,-208.292,201.202,-1399.500,OK,-259.184,222.980,-1392.155,OK,-289.650,171.952,-1378.682
1,Port 2: NDI 8700340  s/n:34802401,103402,1,OK,0.7749878,-0.0226850,-0.6277556,0.0692975,-159.610,203.678,-1410.409,0.2435254,4,OK,-159.373,203.694,-1410.549,OK,-208.349,201.235,-1399.751,OK,-259.229,223.024,-1392.379,OK,-289.693,171.984,-1378.875
1,Port 2: NDI 8700340  s/n:34802401,103405,1,OK,0.7746615,-0.0236132,-0.6281036,0.0694821,-159.621,203.843,-1410.458,0.2686825,4,OK,-159.388,203.859,-1410.648,OK,-208.350,201.457,-1399.762,OK,-259.252,223.300,-1392.584,OK,-289.774,172.306,-1379.028
1,Port 2: NDI 8700340  s/n:34802401,103408,1,OK,0.7747297,-0.0232736,-0.6280271,0.0695289,-159.612,203.771,-1410.439,0.2679851,4,OK,-159.374,203.792,-1410.627,OK,-208.341,201.351,-1399.739,OK,-259.245,223.170,-1392.530,OK,-289.744,172.158,-1378.989
1,Port 2: NDI 8700340  s/n:34802401,103411,1,OK,0.7752552,-0.0224059,-0.6274369,0.0692839,-159.558,203.617,-1410.283,0.2593709,4,OK,-159.314,203.637,-1410.444,OK,-208.279,201.158,-1399.551,OK,-259.170,222.918,-1392.164,OK,-289.617,171.879,-1378.655
1,Port 2: NDI 8700340  s/n:34802401,103414,1,OK,0.7757189,-0.0214398,-0.6269332,0.0689586,-159.478,203.480,-1410.061,0.2633926,4,OK,-159.234,203.496,-1410.232,OK,-208.174,200.974,-1399.246,OK,-259.085,222.685,-1391.760,OK,-289.466,171.604,-1378.304
1,Port 2: NDI 8700340  s/n:34802401,103417,1,OK,0.7758241,-0.0203918,-0.6268317,0.0690155,-159.468,203.267,-1409.925,0.2741855,4,OK,-159.228,203.287,-1410.128,OK,-208.156,200.666,-1399.034,OK,-259.090,222.323,-1391.566,OK,-289.399,171.152,-1378.171
1,Port 2: NDI 8700340  s/n:34802401,103420,1,OK,0.7765095,-0.0130143,-0.6260608,0.0700823,-159.807,202.779,-1409.747,0.2755848,4,OK,-159.567,202.804,-1409.949,OK,-208.426,199.544,-1398.738,OK,-259.576,220.560,-1390.889,OK,-289.281,168.958,-1377.921
1,Port 2: NDI 8700340  s/n:34802401,103423,1,OK,0.7732078,-0.0052509,-0.6298990,0.0731391,-162.920,202.912,-1408.318,0.2773544,4,OK,-162.676,202.945,-1408.518,OK,-211.593,198.851,-1397.773,OK,-263.105,219.015,-1390.203,OK,-292.139,166.890,-1377.953
1,Port 2: NDI 8700340  s/n:34802401,103426,1,OK,0.7715530,-0.0094867,-0.6320651,0.0714820,-167.429,203.316,-1405.330,0.2853007,4,OK,-167.182,203.348,-1405.540,OK,-216.186,199.668,-1395.048,OK,-267.604,220.254,-1387.895,OK,-297.103,168.412,-1375.607
1,Port 2: NDI 8700340  s/n:34802401,103429,1,OK,0.7688927,-0.0067227,-0.6350128,0.0742806,-172.248,202.619,-1401.822,0.2633660,4,OK,-172.016,202.649,-1401.991,OK,-221.043,198.564,-1391.972,OK,-272.682,218.707,-1385.105,OK,-301.844,166.614,-1373.094
1,Port 2: NDI 8700340  s/n:34802401,103432,1,OK,0.7687903,-0.0045574,-0.6349924,0.0756655,-175.302,200.902,-1398.343,0.2730841,4,OK,-175.078,200.927,-1398.536,OK,-224.061,196.598,-1388.444,OK,-275.813,216.484,-1381.587,OK,-304.713,164.208,-1369.648
1,Port 2: NDI 8700340  s/n:34802401,103435,1,OK,0.7679374,0.0036093,-0.6359958,0.0759498,-177.005,198.277,-1395.038,0.2763204,4,OK,-176.773,198.318,-1395.224,OK,-225.732,193.312,-1385.277,OK,-277.699,212.532,-1378.232,OK,-306.052,159.834,-1366.984
1,Port 2: NDI 8700340  s/n:34802401,103438,1,OK,0.7671759,0.0131933,-0.6367728,0.0760753,-178.108,195.219,-1391.796,0.2827242,4,OK,-177.888,195.272,-1392.000,OK,-226.770,189.491,-1382.114,OK,-278.982,207.966,-1374.870,OK,-306.676,154.766,-1364.421
1,Port 2: NDI 8700340  s/n:34802401,103441,1,OK,0.7675629,0.0173363,-0.6362601,0.0756285,-178.264,192.589,-1388.450,0.2757196,4,OK,-178.047,192.636,-1388.655,OK,-226.886,186.577,-1378.712,OK,-279.159,204.785,-1371.249,OK,-306.589,151.346,-1361.107
1,Port 2: NDI 8700340  s/n:34802401,103444,1,OK,0.7692332,0.0253552,-0.6343400,0.0724585,-177.431,189.982,-1385.227,0.2821847,4,OK,-177.215,190.034,-1385.447,OK,-225.955,183.557,-1375.252,OK,-278.277,201.387,-1367.198,OK,-305.364,147.635,-1357.739
1,Port 2: NDI 8700340  s/n:34802401,103447,1,OK,0.7723030,0.0343310,-0.6305439,0.0691651,-175.192,187.396,-1382.009,0.3028676,4,OK,-174.960,187.460,-1382.258,OK,-223.547,180.485,-1371.568,OK,-275.920,197.876,-1362.667,OK,-302.561,143.791,-1353.840
1,Port 2: NDI 8700340  s/n:34802401,103450,1,OK,0.7752940,0.0409485,-0.6266830,0.0671628,-172.162,185.020,-1378.928,0.3021602,4,OK,-171.929,185.088,-1379.177,OK,-220.374,177.738,-1368.054,OK,-272.720,194.743,-1358.378,OK,-298.997,140.424,-1349.916
1,Port 2: NDI 8700340  s/n:34802401,103453,1,OK,0.7807184,0.0547164,-0.6189171,0.0665314,-167.995,182.376,-1376.016,0.3230206,4,OK,-167.762,182.455,-1376.296,OK,-215.825,174.074,-1364.263,OK,-268.272,190.037,-1353.208,OK,-293.470,135.119,-1345.345
1,Port 2: NDI 8700340  s/n:34802401,103456,1,OK,0.7859608,0.0592156,-0.6118599,0.0662320,-163.515,180.205,-1372.828,0.3347428,4,OK,-163.285,180.281,-1373.127,OK,-211.075,171.588,-1360.235,OK,-263.414,187.202,-1348.163,OK,-288.162,132.121,-1340.176
1,Port 2: NDI 8700340  s/n:34802401,103459,1,OK,0.7913031,0.0610941,-0.6045189,0.0682918,-159.383,178.501,-1369.466,0.3432706,4,OK,-159.152,178.584,-1369.782,OK,-206.666,169.621,-1355.987,OK,-258.855,184.963,-1343.011,OK,-283.145,129.749,-1334.515
1,Port 2: NDI 8700340  s/n:34802401,103462,1,OK,0.7955222,0.0638649,-0.5986227,0.0686771,-155.578,177.081,-1365.958,0.3428018,4,OK,-155.343,177.171,-1366.276,OK,-202.615,167.962,-1351.814,OK,-254.685,183.070,-1338.016,OK,-278.613,127.729,-1329.310
1,Port 2: NDI 8700340  s/n:34802401,103465,1,OK,0.8008546,0.0634050,-0.5914557,0.0692238,-151.193,175.711,-1362.605,0.3594971,4,OK,-150.958,175.802,-1362.947,OK,-197.970,166.612,-1347.571,OK,-249.794,181.735,-1332.943,OK,-273.539,126.412,-1323.646
1,Port 2: NDI 8700340  s/n:34802401,103468,1,OK,0.8044882,0.0641394,-0.5862634,0.0705705,-147.605,174.505,-1359.510,0.3580661,4,OK,-147.379,174.585,-1359.860,OK,-194.164,165.285,-1343.866,OK,-245.856,180.274,-1328.622,OK,-269.279,124.880,-1318.949
